,index,No._x,Ticker,Company,Sector,Industry,Country,Market Cap_x,P/E_x,Price_x,Change_x,Volume_x,No._y,Market Cap_y,Dividend,ROA,ROE,ROI,Curr R,Quick R,LTDebt/Eq,Debt/Eq,Gross M,Oper M,Profit M,Earnings,Price_y,Change_y,Volume_y,P/E_y,Fwd P/E,PEG,P/S,P/B,P/C,P/FCF,EPS this Y,EPS next Y,EPS past 5Y,EPS next 5Y,Sales past 5Y,Outstanding,Float,Insider Own,Insider Trans,Inst Own,Inst Trans,Float Short,Short Ratio,Avg Volume_x,Perf Week,Perf Month,Perf Quart,Perf Half,Perf Year,Perf YTD,Volatility W,Volatility M,Recom,Avg Volume_y,Rel Volume,Beta,ATR,SMA20,SMA50,SMA200,52W High,52W Low,RSI,from Open,Gap
3369,9,3370,HBT,"HBT Financial, Inc.",Financial,Banks - Regional,USA,428.27M,8.62,16.39,0.06%,17443,3370,428.27M,3.66%,1.40%,14.40%,1.20%,-,-,0.21,9.51,-,57.70%,39.40%,Jul 26/b,16.39,0.06%,17443,8.62,11.04,-,3.24,1.20,0.78,8.58,-59.70%,-18.91%,-,-,-,27.36M,3.26M,87.98%,0.00%,29.10%,-1.37%,4.02%,4.50,29.11K,0.74%,7.97%,-0.67%,-3.93%,35.57%,8.18%,2.08%,2.59%,2.50,29.11K,0.60,-,0.40,5.97%,3.19%,-1.58%,-12.96%,36.93%,62.17,0.06%,0.00%
3370,10,3371,HCA,"HCA Healthcare, Inc.",Healthcare,Medical Care Facilities,USA,75.39B,16.49,240.42,-0.77%,808404,3371,75.39B,0.80%,10.20%,-,18.80%,1.40,1.20,-,-,83.80%,15.30%,8.90%,Oct 22/b,240.42,-0.77%,808404,16.49,11.05,1.19,1.35,-,67.32,239.34,8.50%,21.61%,17.00%,13.84%,5.40%,328.17M,248.36M,0.20%,-42.05%,70.80%,-3.58%,1.44%,2.53,1.41M,-2.97%,-6.91%,9.11%,25.44%,82.37%,46.19%,2.12%,2.08%,2.00,1.41M,0.57,1.64,5.34,-4.71%,-4.02%,15.56%,-8.90%,97.21%,37.80,-0.75%,-0.02%
3371,11,3372,HCAQ,HealthCor Catalio Acquisition Corp.,Financial,Shell Companies,USA,262.75M,-,9.93,0.00%,20827,3372,262.75M,-,-,-,-,0.90,0.90,0.00,0.00,-,-,-,-,9.93,0.00%,20827,-,-,-,-,1.32,375.35,-,-,-,-,-,-,26.49M,20.70M,-,-,86.30%,0.65%,0.16%,0.26,127.39K,0.20%,0.10%,0.00%,-2.65%,-,-0.80%,0.34%,0.34%,-,127.39K,0.16,-,0.04,0.19%,0.30%,-0.56%,-9.73%,4.75%,54.69,-0.10%,0.10%
3372,12,3373,HCAR,Healthcare Services Acquisition Corporation,Financial,Shell Companies,USA,403.75M,-,9.75,0.31%,1515,3373,403.75M,-,-,-,-,3.10,3.10,0.00,0.00,-,-,-,-,9.75,0.31%,1515,-,-,-,-,1.37,672.91,-,-,-,-,-,-,41.40M,33.12M,-,-,83.90%,18.15%,0.03%,0.18,56.35K,0.00%,0.41%,0.72%,0.00%,-,-2.50%,0.42%,0.32%,-,56.35K,0.03,-,0.04,0.26%,0.64%,-0.50%,-7.32%,1.56%,57.13,0.41%,-0.10%
3373,13,3374,HCARU,Healthcare Services Acquisition Corporation,Financial,Shell Companies,USA,-,-,9.93,0.00%,0,3374,-,-,-,-,-,-,-,-,-,-,-,-,-,9.93,0.00%,0,-,-,-,-,-,-,-,-,-,-,-,-,-,34.01M,-,-,23.18%,-,0.00%,0.00,5.02K,-0.30%,-0.43%,-0.20%,-9.73%,-,-2.84%,0.60%,0.35%,-,5.02K,0.51,-,0.06,-0.20%,-0.80%,-3.00%,-12.59%,0.71%,46.75,0.00%,0.00%
3374,14,3375,HCAT,"Health Catalyst, Inc.",Healthcare,Health Information Services,USA,2.37B,-,46.96,-3.87%,266213,3375,2.37B,-,-23.60%,-48.00%,-23.20%,1.30,1.30,0.00,0.63,49.90%,-55.10%,-62.30%,Aug 05/a,46.96,-3.87%,266213,-,700.90,-,10.97,7.64,9.01,-,77.40%,37.50%,-,-,-,44.89M,44.71M,1.80%,-34.60%,-,8.51%,11.12%,12.07,412.04K,-5.15%,-14.10%,-18.89%,-5.30%,31.54%,7.88%,3.66%,3.39%,1.50,412.04K,0.65,-,1.75,-9.79%,-11.73%,-9.27%,-21.08%,48.36%,30.30,-3.77%,-0.10%
3375,15,3376,HCC,"Warrior Met Coal, Inc.",Basic Materials,Coking Coal,USA,1.26B,-,26.88,-0.15%,379355,3376,1.26B,0.74%,-5.40%,-10.30%,-0.30%,3.50,2.90,0.60,0.64,17.90%,-5.10%,-8.90%,Aug 04/a,26.88,-0.15%,379355,-,10.74,-,1.51,1.98,4.58,9.61,-111.90%,62.22%,34.50%,-,7.50%,51.45M,51.00M,0.60%,-3.89%,94.70%,-3.34%,3.36%,1.89,905.01K,5.45%,4.47%,49.42%,62.22%,54.66%,26.08%,5.49%,5.01%,2.70,905.01K,0.42,1.09,1.33,11.40%,22.46%,35.78%,-5.35%,106.29%,65.50,-1.61%,1.49%
3376,16,3377,HCCCU,Healthcare Capital Corp.,Financial,Shell Companies,USA,-,-,10.17,-0.29%,11,3377,-,-,-,-,-,-,-,-,-,-,-,-,-,10.17,-0.29%,11,-,-,-,-,-,-,-,-,-,-,-,-,-,27.50M,-,-,48.19%,-,0.00%,0.02,33.51K,-0.29%,0.16%,1.50%,0.69%,-,-0.88%,0.10%,0.14%,-,33.51K,0.00,-,0.04,0.32%,0.28%,0.53%,-4.24%,4.31%,52.78,0.00%,-0.29%
3377,17,3378,HCCI,"Heritage-Crystal Clean, Inc",Industrials,Waste Management,USA,700.62M,20.64,29.50,0.00%,39703,3378,700.62M,-,7.40%,11.80%,4.30%,2.00,1.70,0.00,0.00,-,10.60%,7.60%,-,29.50,0.00%,39703,20.64,20.77,1.38,1.59,2.27,10.41,14.97,42.40%,-37.20%,55.60%,15.00%,3.00%,23.40M,15.53M,8.00%,-0.21%,62.40%,-2.16%,1.69%,6.61,39.79K,-0.17%,4.42%,1.48%,5.13%,102.05%,40.01%,1.92%,2.63%,1.40,39.79K,1.00,1.24,0.75,2.66%,2.48%,6.95%,-15.50%,111.17%,54.60,0.00%,0.00%
3378,18,3379,HCDI,"Harbor Custom Development, Inc.",Real Estate,Real Estate - Development,USA,29.17M,-,2.05,3.54%,131763,3379,29.17M,-,-4.80%,-14.60%,-10.00%,-,-,0.14,1.33,8.20%,-3.40%,-4.90%,Aug 17/a,2.05,3.54%,131763,-,-,-,0.49,0.94,2.28,-,-,-,-,-,-,14.89M,11.41M,21.30%,0.00%,16.80%,41.99%,9.89%,5.28,213.89K,-16.67%,-24.91%,-33.22%,-34.50%,-61.75%,-52.98%,7.09%,5.29%,-,213.89K,0.62,-,0.13,-15.25%,-24.75%,-35.64%,-74.05%,4.59%,28.54,1.49%,2.02%
3379,19,3380,HCDIP,"Harbor Custom Development, Inc.",Real Estate,Real Estate - Development,USA,-,-,14.15,-0.70%,38385,3380,-,-,-,-,-,-,-,-,-,-,-,-,-,14.15,-0.70%,38385,-,-,-,-,-,-,-,-,-,-,-,-,-,11.46M,-,-,-,-,0.01%,0.13,13.27K,-27.81%,-41.04%,-41.16%,-,-,-39.09%,3.98%,3.50%,-,13.27K,2.89,-,0.91,-31.81%,-37.42%,-38.76%,-42.26%,4.74%,9.97,-0.63%,-0.07%
3380,0,3381,HCI,"HCI Group, Inc.",Financial,Insurance - Property & Casualty,USA,1.10B,42.28,132.22,0.33%,72921,3381,1.10B,1.21%,2.50%,11.80%,0.60%,-,-,0.74,0.74,-,3.80%,7.40%,Aug 05/a,132.22,0.33%,72921,42.28,112.53,1.69,3.28,4.59,1.75,23.03,5.40%,38.24%,-10.00%,25.00%,-1.30%,7.53M,6.37M,7.40%,0.00%,63.80%,1.81%,14.12%,10.67,84.27K,16.99%,18.68%,41.68%,73.97%,177.42%,152.81%,4.92%,3.38%,2.30,84.27K,0.87,0.72,4.29,17.77%,20.58%,59.33%,-2.10%,185.57%,78.78,0.14%,0.18%
3381,1,3382,HCIC,Hennessy Capital Investment Corp. V,Financial,Shell Companies,USA,428.22M,-,9.94,0.20%,78962,3382,428.22M,-,-,-,-,0.10,0.10,0.00,0.00,-,-,-,-,9.94,0.20%,78962,-,-,-,-,1.45,305.87,-,-,-,-,-,-,43.12M,34.50M,-,-,77.20%,53.35%,0.37%,0.66,191.43K,0.61%,0.10%,-1.19%,0.71%,-,0.20%,0.33%,0.35%,-,191.43K,0.41,-,0.03,0.26%,0.17%,-0.00%,-5.69%,3.54%,55.29,0.20%,0.00%
3382,2,3383,HCICU,Hennessy Capital Investment Corp. V,Financial,Shell Companies,USA,-,-,10.18,-0.10%,1464,3383,-,-,-,-,-,-,-,-,-,-,-,-,-,10.18,-0.10%,1464,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,50.28%,-,-,0.00,17.03K,0.30%,-0.49%,-3.95%,0.10%,-,-8.21%,0.28%,0.48%,-,17.03K,0.09,-,0.05,-0.40%,-0.54%,-3.03%,-23.46%,3.56%,44.64,-0.10%,0.00%
3383,3,3384,HCIIU,Hudson Executive Investment Corp. II,Financial,Shell Companies,USA,-,-,9.99,0.00%,0,3384,-,-,-,-,-,-,-,-,-,-,-,-,-,9.99,0.00%,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,62.60%,-,-,0.07,20.49K,0.50%,0.91%,-0.30%,-6.72%,-,-5.31%,0.32%,0.25%,-,20.49K,0.12,-,0.03,0.46%,0.21%,-1.33%,-11.59%,3.95%,55.95,0.00%,0.00%
3384,4,3385,HCKT,"The Hackett Group, Inc.",Technology,Information Technology Services,USA,596.45M,32.30,20.61,-0.58%,55979,3385,596.45M,1.94%,10.40%,14.70%,4.10%,1.80,1.80,0.00,0.00,35.70%,11.50%,8.20%,Aug 10/a,20.61,-0.58%,55979,32.30,16.27,2.15,2.35,4.29,11.36,21.15,-75.70%,4.11%,-16.60%,15.00%,-1.70%,30.09M,24.26M,18.62%,0.00%,80.60%,-2.17%,2.11%,4.92,103.81K,1.98%,0.44%,13.49%,17.70%,68.80%,43.22%,2.05%,2.44%,1.70,103.81K,0.54,0.72,0.45,5.06%,7.24%,19.86%,-1.58%,75.11%,64.55,-0.67%,0.10%
3385,5,3386,HCM,HUTCHMED (China) Limited,Healthcare,Drug Manufacturers - General,Hong Kong,4.95B,-,33.25,-1.36%,165471,3386,4.95B,-,-,-,-,-,-,-,-,-,-,-,Jul 28/b,33.25,-1.36%,165471,-,-,-,17.77,11.18,-,-,-,-,-,-,-,148.90M,92.61M,1.41%,0.00%,28.92%,-,1.97%,7.59,240.19K,-5.62%,-15.80%,-11.24%,13.48%,-2.49%,3.84%,3.82%,3.73%,1.60,240.19K,0.69,-,1.56,-9.54%,-14.63%,-0.15%,-24.33%,40.47%,34.50,-1.01%,-0.36%
3386,6,3387,HCNEU,JAWS Hurricane Acquisition Corporation,Financial,Shell Companies,USA,-,-,10.04,0.10%,4759,3387,-,-,-,-,-,-,-,-,-,-,-,-,-,10.04,0.10%,4759,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.06,103.09K,1.48%,0.90%,-0.30%,-,-,-0.20%,2.32%,1.10%,-,103.09K,0.05,-,0.19,0.22%,0.22%,0.09%,-8.48%,2.45%,49.83,1.01%,-0.90%
3387,7,3388,HCSG,"Healthcare Services Group, Inc.",Healthcare,Medical Care Facilities,USA,1.82B,20.79,24.85,-0.80%,529750,3388,1.82B,3.34%,11.40%,18.60%,18.00%,3.30,3.20,0.00,0.00,16.50%,6.30%,5.40%,Jul 21/b,24.85,-0.80%,529750,20.79,20.59,2.31,1.09,3.82,7.28,20.83,52.40%,17.18%,10.50%,9.00%,4.10%,75.00M,74.18M,0.10%,0.00%,-,-1.32%,10.38%,8.61,894.64K,-2.32%,-6.79%,-21.66%,-13.60%,3.67%,-11.57%,2.44%,3.07%,2.60,894.64K,0.59,0.43,0.75,-2.02%,-3.80%,-14.39%,-30.59%,13.99%,40.81,-0.92%,0.12%
3388,8,3389,HCWB,HCW Biologics Inc.,Healthcare,Biotechnology,USA,105.82M,-,2.85,3.26%,26066,3389,105.82M,-,-,-,34.90%,2.40,2.40,-,-,-,-,-,-,2.85,3.26%,26066,-,-,-,25.81,-,20.75,-,9.10%,-,-,-,-,37.13M,9.04M,43.40%,0.00%,0.05%,-,0.95%,0.63,135.42K,-7.17%,-35.23%,-,-,-,-54.76%,10.59%,9.92%,-,135.42K,0.19,-,0.31,-16.79%,-30.38%,-32.90%,-63.34%,9.62%,35.43,-2.40%,5.80%
3389,9,3390,HD,"The Home Depot, Inc.",Consumer Cyclical,Home Improvement Retail,USA,351.14B,23.52,334.34,-0.93%,2903223,3390,351.14B,1.97%,21.70%,704.70%,34.90%,1.10,0.40,16.31,17.48,33.70%,14.80%,10.60%,Aug 17/b,334.34,-0.93%,2903223,23.52,21.96,2.22,2.43,170.58,76.90,74.24,16.50%,4.47%,16.90%,10.60%,8.30%,1.06B,1.05B,0.07%,-24.44%,72.00%,-1.38%,1.08%,3.74,3.05M,1.36%,0.77%,3.92%,4.22%,17.51%,25.87%,1.74%,1.71%,2.10,3.05M,0.95,0.99,6.07,0.18%,1.17%,8.91%,-3.28%,35.59%,52.69,0.40%,-1.33%
3390,10,3391,HDAW,Xtrackers MSCI All World ex US High Dividend Yield Hedged Equity ETF,Financial,Exchange Traded Fund,USA,-,-,24.69,0.59%,2247,3391,-,4.62%,-,-,-,-,-,-,-,-,-,-,-,24.69,0.59%,2247,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3.34K,1.27%,-4.07%,-5.50%,-3.50%,16.81%,2.83%,0.55%,0.58%,-,3.34K,0.67,-,0.22,-0.44%,-3.14%,-3.45%,-15.19%,24.73%,44.36,0.67%,-0.08%
3391,11,3392,HDB,HDFC Bank Limited,Financial,Banks - Regional,India,132.84B,187.61,72.70,-1.24%,690001,3392,132.84B,0.36%,-,-,-,-,-,-,-,-,-,-,-,72.70,-1.24%,690001,187.61,21.77,7.88,0.17,0.38,-,-,18.50%,21.00%,14.05%,23.80%,-,1.83B,-,-,-,18.51%,-,-,1.85,1.39M,-1.37%,-4.13%,-0.75%,5.50%,32.54%,0.61%,1.43%,1.72%,1.30,1.39M,0.50,-,1.32,-1.24%,-2.88%,-3.08%,-14.17%,34.63%,43.63,-1.02%,-0.22%
3392,12,3393,HDEF,Xtrackers MSCI EAFE High Dividend Yield Equity ETF,Financial,Exchange Traded Fund,USA,-,-,22.99,0.44%,136065,3393,-,4.92%,-,-,-,-,-,-,-,-,-,-,-,22.99,0.44%,136065,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,182.35K,0.97%,-4.65%,-6.77%,-4.96%,11.56%,-0.78%,0.75%,0.72%,-,182.35K,0.75,-,0.23,-1.09%,-4.09%,-4.91%,-9.99%,19.70%,39.39,0.00%,0.44%
3393,13,3394,HDG,ProShares Hedge Replication ETF,Financial,Exchange Traded Fund,USA,-,-,51.37,-0.17%,2621,3394,-,-,-,-,-,-,-,-,-,-,-,-,-,51.37,-0.17%,2621,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3.08K,-0.42%,-0.93%,-1.28%,-1.11%,9.87%,2.55%,0.40%,0.46%,-,3.08K,0.85,-,0.30,-0.15%,-0.40%,-0.74%,-3.90%,11.83%,47.27,0.17%,-0.33%
3394,14,3395,HDGE,AdvisorShares Ranger Equity Bear ETF,Financial,Exchange Traded Fund,USA,-,-,25.50,0.24%,66846,3395,-,-,-,-,-,-,-,-,-,-,-,-,-,25.50,0.24%,66846,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,79.98K,-0.35%,2.91%,8.10%,3.28%,-39.14%,-15.84%,0.96%,1.28%,-,79.98K,0.84,-,0.33,0.78%,2.35%,0.93%,-43.58%,12.48%,55.42,0.28%,-0.04%
3395,15,3396,HDLB,ETRACS Monthly Pay 2xLeveraged US High Dividend Low Volatility ETN B,Financial,Exchange Traded Fund,USA,-,-,14.92,-0.44%,1294,3396,-,-,-,-,-,-,-,-,-,-,-,-,-,14.92,-0.44%,1294,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3.77K,0.98%,-4.84%,-4.69%,1.64%,48.90%,30.38%,1.15%,1.34%,-,3.77K,0.34,-,0.24,-0.78%,-4.54%,1.53%,-18.56%,90.80%,43.17,-0.40%,-0.04%
3396,16,3397,HDMV,First Trust Horizon Managed Volatility Developed International ETF,Financial,Exchange Traded Fund,USA,-,-,31.06,-0.19%,2954,3397,-,2.93%,-,-,-,-,-,-,-,-,-,-,-,31.06,-0.19%,2954,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5.19K,0.16%,-4.59%,-2.97%,-0.96%,7.55%,1.74%,0.52%,0.52%,-,5.19K,0.57,-,0.23,-1.85%,-3.39%,-1.70%,-5.64%,13.16%,35.53,-0.25%,0.07%
3397,17,3398,HDRO,Defiance Next Gen H2 ETF,Financial,Exchange Traded Fund,USA,-,-,18.73,0.92%,20486,3398,-,-,-,-,-,-,-,-,-,-,-,-,-,18.73,0.92%,20486,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,35.83K,-4.04%,-11.61%,-17.53%,-27.29%,-,-32.11%,2.18%,2.24%,-,35.83K,0.57,-,0.50,-5.28%,-8.55%,-18.12%,-36.64%,4.90%,37.85,-0.11%,1.02%
3398,18,3399,HDSN,"Hudson Technologies, Inc.",Basic Materials,Specialty Chemicals,USA,146.60M,31.11,3.36,-0.59%,69594,3399,146.60M,-,3.20%,12.40%,4.80%,1.60,0.80,1.47,1.90,28.70%,10.40%,3.50%,Aug 04/a,3.36,-0.59%,69594,31.11,30.55,1.04,0.93,2.85,77.16,-,80.00%,-26.67%,-23.50%,30.00%,13.10%,43.50M,27.65M,3.50%,-15.43%,44.20%,29.82%,1.79%,1.39,354.98K,-5.35%,1.82%,1.82%,65.52%,180.00%,208.26%,6.44%,5.69%,2.50,354.98K,0.20,1.30,0.18,-1.85%,1.19%,40.35%,-18.05%,232.67%,48.31,-0.88%,0.30%
3399,19,3400,HDV,iShares Core High Dividend ETF,Financial,Exchange Traded Fund,USA,-,-,96.55,0.10%,310952,3400,-,3.55%,-,-,-,-,-,-,-,-,-,-,-,96.55,0.10%,310952,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,326.96K,1.12%,0.26%,-0.77%,1.12%,16.78%,10.13%,0.91%,1.09%,-,326.96K,0.95,-,1.06,0.97%,-0.11%,1.82%,-3.91%,26.66%,53.76,-0.13%,0.24%
3400,0,3401,HE,"Hawaiian Electric Industries, Inc.",Utilities,Utilities - Regulated Electric,USA,4.41B,18.21,40.60,-1.00%,398243,3401,4.41B,3.35%,1.60%,10.40%,5.80%,-,-,1.01,1.05,14.50%,14.50%,9.30%,Aug 09/b,40.60,-1.00%,398243,18.21,19.17,14.01,1.68,1.87,17.81,-,-5.10%,1.24%,3.80%,1.30%,-0.20%,109.28M,108.30M,0.10%,-3.04%,55.20%,-0.84%,0.90%,2.65,369.59K,-1.29%,-4.98%,-4.56%,-4.61%,17.07%,14.72%,2.26%,2.02%,3.80,369.59K,1.08,0.26,0.85,-1.60%,-5.24%,-0.51%,-11.68%,27.55%,38.41,-0.44%,-0.56%
3401,1,3402,HEAR,Turtle Beach Corporation,Technology,Consumer Electronics,USA,469.27M,11.81,30.12,1.21%,234571,3402,469.27M,-,21.40%,37.80%,31.90%,2.30,1.30,0.00,0.00,37.70%,13.70%,10.70%,Aug 05/a,30.12,1.21%,234571,11.81,17.31,0.74,1.13,3.59,8.35,18.77,107.20%,11.83%,18.10%,16.00%,17.20%,15.92M,15.76M,1.80%,0.00%,65.10%,-3.73%,12.29%,5.38,360.36K,4.98%,6.24%,-1.60%,9.69%,67.61%,39.77%,4.30%,4.13%,1.50,360.36K,0.65,1.52,1.23,2.56%,4.85%,4.66%,-22.17%,85.24%,56.20,1.07%,0.13%
3402,2,3403,HEDJ,WisdomTree Europe Hedged Equity Fund,Financial,Exchange Traded Fund,USA,-,-,75.65,-0.42%,40392,3403,-,2.79%,-,-,-,-,-,-,-,-,-,-,-,75.65,-0.42%,40392,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,78.22K,-0.58%,-4.45%,-2.25%,2.77%,19.02%,14.10%,0.75%,0.70%,-,78.22K,0.52,-,0.82,-2.51%,-3.92%,2.14%,-6.25%,30.68%,37.70,-0.51%,0.09%
3403,3,3404,HEEM,iShares Currency Hedged MSCI Emerging Markets ETF,Financial,Exchange Traded Fund,USA,-,-,30.90,0.48%,23363,3404,-,1.36%,-,-,-,-,-,-,-,-,-,-,-,30.90,0.48%,23363,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,25.76K,1.74%,-1.94%,-3.75%,-4.02%,11.41%,0.54%,0.86%,0.78%,-,25.76K,0.91,-,0.38,0.67%,-0.16%,-3.72%,-11.22%,13.80%,52.15,0.51%,-0.03%
3404,4,3405,HEES,"H&E Equipment Services, Inc.",Industrials,Rental & Leasing Services,USA,1.34B,90.86,38.25,-2.45%,162372,3405,1.34B,2.88%,0.80%,6.30%,1.80%,-,-,5.15,5.15,34.10%,6.30%,1.30%,Aug 03/b,38.25,-2.45%,162372,90.86,16.70,2.66,1.11,5.76,6.60,9.22,-137.40%,52.97%,-22.20%,34.10%,2.40%,36.22M,31.77M,8.00%,0.00%,73.60%,0.07%,2.50%,3.98,199.75K,6.61%,16.08%,17.51%,0.90%,62.28%,28.31%,4.90%,4.43%,1.50,199.75K,0.81,2.19,1.51,9.54%,12.21%,12.83%,-8.60%,93.67%,63.35,-2.35%,-0.10%
3405,5,3406,HEFA,iShares Currency Hedged MSCI EAFE ETF,Financial,Exchange Traded Fund,USA,-,-,34.34,-0.03%,125094,3406,-,1.86%,-,-,-,-,-,-,-,-,-,-,-,34.34,-0.03%,125094,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,299.03K,-0.17%,-2.47%,-0.38%,2.97%,21.95%,12.70%,0.81%,0.69%,-,299.03K,0.42,-,0.34,-1.29%,-1.52%,2.65%,-3.59%,30.13%,43.51,-0.15%,0.12%
3406,6,3407,HEGD,Swan Hedged Equity US Large Cap ETF,Financial,Exchange Traded Fund,USA,-,-,18.49,0.15%,14425,3407,-,-,-,-,-,-,-,-,-,-,-,-,-,18.49,0.15%,14425,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,59.98K,0.31%,-1.97%,0.92%,4.64%,-,10.81%,1.07%,0.88%,-,59.98K,0.24,-,0.18,-0.46%,-0.82%,3.92%,-2.39%,12.39%,47.09,-0.28%,0.43%
3407,7,3408,HEI,HEICO Corporation,Industrials,Aerospace & Defense,USA,16.67B,66.20,134.78,-0.48%,245404,3408,16.67B,0.13%,7.90%,13.40%,12.80%,3.90,2.20,0.18,0.18,38.40%,20.60%,15.70%,Aug 24/a,134.78,-0.48%,245404,66.20,50.82,6.75,9.35,8.34,61.80,43.23,-4.20%,23.29%,17.80%,9.80%,8.50%,135.37M,115.25M,4.00%,0.11%,70.20%,0.13%,1.15%,4.82,275.44K,-0.53%,7.73%,-3.28%,2.08%,20.58%,1.80%,1.95%,1.99%,2.50,275.44K,0.89,1.20,2.62,2.97%,3.84%,1.52%,-9.51%,31.31%,58.37,-0.79%,0.31%
3408,8,3409,HEI-A,HEICO Corporation,Industrials,Aerospace & Defense,USA,9.61B,62.04,118.50,-2.48%,412411,3409,9.61B,0.15%,-,-,-,-,-,-,-,-,-,-,-,118.50,-2.48%,412411,62.04,-,-,5.66,7.82,-,-,-7.00%,-,-,-,-,81.06M,-,9.82%,0.00%,86.46%,-,-,2.09,210.88K,-2.63%,5.98%,-5.95%,-0.64%,21.91%,1.23%,2.58%,2.46%,-,210.88K,1.96,-,2.85,0.61%,0.94%,-1.79%,-13.66%,28.87%,49.77,-2.58%,0.11%
3409,9,3410,HELE,Helen of Troy Limited,Consumer Defensive,Household & Personal Products,USA,5.44B,22.68,226.39,-1.94%,134296,3410,5.44B,-,11.00%,20.20%,16.20%,1.80,0.90,0.42,0.43,43.60%,13.00%,11.30%,Oct 07/b,226.39,-1.94%,134296,22.68,18.57,2.84,2.45,4.59,145.58,88.24,59.60%,12.24%,24.60%,8.00%,8.60%,24.35M,23.88M,0.50%,-11.62%,-,-4.06%,9.44%,15.55,145.05K,0.55%,-1.90%,6.29%,3.87%,16.40%,1.89%,3.21%,2.63%,2.60,145.05K,0.93,0.86,6.85,-0.91%,-1.99%,0.76%,-14.88%,24.50%,48.06,-2.39%,0.46%
3410,10,3411,HELX,Franklin Genomic Advancements ETF,Financial,Exchange Traded Fund,USA,-,-,49.33,-2.53%,4178,3411,-,0.02%,-,-,-,-,-,-,-,-,-,-,-,49.33,-2.53%,4178,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,11.22K,-3.93%,-14.59%,-2.94%,13.59%,32.39%,11.40%,1.87%,1.98%,-,11.22K,0.37,-,1.30,-9.10%,-10.23%,1.65%,-15.83%,39.51%,32.05,-2.53%,0.00%
3411,11,3412,HEP,"Holly Energy Partners, L.P.",Energy,Oil & Gas Midstream,USA,1.99B,10.79,19.37,-0.56%,166194,3412,1.99B,7.23%,8.70%,48.10%,11.50%,1.20,1.20,3.36,3.37,68.30%,42.10%,37.20%,Aug 03/b,19.37,-0.56%,166194,10.79,8.46,1.54,3.92,4.81,101.70,18.39,-24.20%,15.37%,0.00%,7.00%,6.80%,105.44M,45.62M,56.73%,0.01%,33.30%,11.50%,1.81%,4.33,190.76K,3.14%,3.14%,-13.64%,-0.82%,53.61%,36.41%,3.33%,3.52%,2.70,190.76K,0.87,1.06,0.63,4.51%,4.20%,2.56%,-18.24%,84.83%,56.53,-0.92%,0.36%
3412,12,3413,HEPA,"Hepion Pharmaceuticals, Inc.",Healthcare,Biotechnology,USA,110.62M,-,1.48,0.68%,279115,3413,110.62M,-,-31.90%,-36.30%,-,16.00,16.00,0.00,0.00,-,-,-,-,1.48,0.68%,279115,-,-,-,-,1.03,1.00,-,65.60%,-55.60%,64.10%,-,-,76.22M,76.12M,0.14%,0.00%,21.50%,-11.21%,3.79%,1.76,1.64M,-5.13%,-12.94%,-27.09%,-14.94%,-53.75%,-32.42%,2.91%,4.55%,2.00,1.64M,0.17,1.14,0.08,-4.88%,-3.83%,-20.91%,-59.89%,8.83%,41.15,0.00%,0.68%
3413,13,3414,HEPS,D-MARKET Elektronik Hizmetler ve Ticaret Anonim Sirketi,Consumer Cyclical,Internet Retail,Turkey,1.95B,-,5.60,1.08%,415182,3414,1.95B,-,-,-,61.20%,0.50,0.20,-,-,24.80%,-,-,Aug 26/b,5.60,1.08%,415182,-,-,-,2.50,-,44.64,-,-260.40%,0.00%,-,-,-,348.33M,286.00M,-,-,2.96%,-,0.15%,0.58,747.60K,-12.77%,-23.91%,-59.77%,-,-,-58.30%,6.73%,6.90%,2.20,747.60K,0.56,-,0.47,-15.24%,-40.40%,-46.88%,-63.23%,1.27%,27.29,1.08%,0.00%
